title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Brahms: The Boy II,10000000,20311536,5.9,1219,2020-02-20,86,"Horror, Mystery, Thriller",en
Gabriel's Inferno: Part III,0,0,8.385,1051,2020-11-19,105,"Romance, Drama",en
"Curious George: Go West, Go Wild",0,0,6.0,89,2020-09-08,85,"Animation, Family, TV Movie",en
Love and Monsters,30000000,1122066,7.309,3978,2020-10-16,109,"Comedy, Action, Adventure",en
Possessor,2500000,911000,6.349,852,2020-10-02,104,"Horror, Thriller, Science Fiction",en
Onward,200000000,141940042,7.686,6070,2020-02-29,103,"Family, Animation, Adventure, Comedy, Fantasy",en
Ma Rainey's Black Bottom,0,0,6.673,1139,2020-11-25,94,"Drama, Music",en
The Christmas Chronicles: Part Two,0,0,6.464,1003,2020-11-18,112,"Family, Fantasy, Adventure, Comedy",en
Synchronic,0,1019041,6.333,922,2020-10-23,101,"Drama, Horror, Science Fiction, Thriller",en
Return of the Tooth Fairy,0,0,6.455,850,2020-06-15,91,Horror,en
The Secret: Dare to Dream,21000000,3215636,7.314,598,2020-04-16,107,"Drama, Romance",en
Synchronic,0,1019041,6.333,922,2020-10-23,101,"Drama, Horror, Science Fiction, Thriller",en
Return of the Tooth Fairy,0,0,6.455,850,2020-06-15,91,Horror,en
The Secret: Dare to Dream,21000000,3215636,7.314,598,2020-04-16,107,"Drama, Romance",en
Vanguard,0,50866901,6.3,534,2020-09-30,107,"Comedy, Thriller, Action, Adventure",zh
The Doorman,0,307873,5.824,407,2020-10-01,97,"Action, Thriller",en
The Mercenary,0,0,6.1,26,2020-01-07,91,Action,en
Relic,1229578,3238539,6.1,718,2020-07-03,89,"Horror, Mystery, Thriller",en
Superman: Man of Tomorrow,0,0,7.1,437,2020-08-23,87,"Animation, Action, Science Fiction",en
Godmothered,0,0,6.7,597,2020-12-04,113,"Family, Fantasy, Comedy",en
The Bay of Silence,0,1941,4.441,94,2020-08-20,93,Thriller,en
The Last Full Measure,20000000,3364426,7.345,436,2020-01-23,110,"Drama, Action, War",en
Z-O-M-B-I-E-S 2,0,0,7.541,443,2020-06-13,84,"Fantasy, Romance, TV Movie",en
Jingle Jangle: A Christmas Journey,0,0,6.592,507,2020-11-06,122,"Family, Fantasy, Music",en
"Love, Guaranteed",0,0,6.4,637,2020-09-02,91,"Romance, Comedy",en
Delicious Tutor,0,0,0.0,0,2020-04-03,70,Romance,ko
The Craft: Legacy,18000000,2300000,6.136,785,2020-10-28,94,"Horror, Drama, Fantasy",en
#Alive,6300000,13416285,7.239,1796,2020-06-24,98,"Horror, Action, Thriller",ko
What Lies Below,0,0,5.3,182,2020-12-17,87,"Horror, Mystery, Thriller, Science Fiction",en
Enola Holmes,21000000,0,7.277,5952,2020-09-23,123,"Adventure, Mystery, Crime",en
I'm Thinking of Ending Things,0,0,6.6,1900,2020-08-28,135,"Drama, Fantasy, Mystery, Thriller",en
The Empty Man,16000000,4796993,6.135,791,2020-10-22,137,"Horror, Mystery, Thriller",en
The Hunt,14000000,10550350,6.646,3121,2020-03-11,90,"Action, Thriller, Horror",en
Pizza Dare 2,0,0,5.3,3,2020-05-22,67,Romance,ko
Songbird,2500000,1000000,6.2,734,2020-12-10,85,"Science Fiction, Thriller",en
Artemis Fowl,125000000,0,5.588,1628,2020-05-29,94,"Adventure, Fantasy, Science Fiction, Family, Action",en
Superman: Red Son,0,0,7.1,804,2020-02-24,84,"Science Fiction, Animation, Action",en
Idol Sex: LA Korean Women,0,0,1.0,1,2020-06-18,65,"Romance, Drama",ko
Charm City Kings,0,0,7.856,463,2020-01-27,125,Drama,en
Feel the Beat,0,0,7.588,1108,2020-06-19,107,"Comedy, Music, Drama",en
R-Rated Idol Seung-ha's Fancy Walk,0,0,7.7,15,2020-07-01,78,"Drama, Romance",ko
Breach,0,39328,4.211,636,2020-12-17,92,"Science Fiction, Action, Horror",en
Innocence,0,0,7.694,93,2020-06-10,110,"Crime, Thriller",ko
Cranston Academy: Monster Zone,0,641308,6.03,100,2020-04-29,80,"Animation, Adventure, Science Fiction, Fantasy, Horror",en
Sister-in-law's Taste,0,0,6.9,16,2020-06-10,70,"Drama, Romance",ko
R-Rated Idol Seung-ha's Sex Scandal,0,0,6.9,47,2020-07-17,79,"Drama, Romance",ko
Unhinged,33000000,39238300,6.457,2234,2020-07-16,90,"Action, Thriller",en
Saint Maud,0,1640866,6.613,711,2020-10-09,85,"Horror, Mystery, Drama",en
The Secret Garden,0,889816,6.341,573,2020-07-08,99,"Family, Fantasy, Drama",en
All My Life,25000000,2000000,7.843,475,2020-10-23,93,"Romance, Drama",en
Coma,2250000,9500000,6.422,529,2020-01-01,110,"Science Fiction, Adventure, Action",ru
A California Christmas,0,0,6.431,326,2020-12-14,106,"Comedy, Romance, Drama",en
From...,0,0,7.5,2,2020-10-22,10,,en
The Willoughbys,0,0,7.056,896,2020-04-22,92,"Animation, Comedy, Family",en
The Secret: Dare to Dream,21000000,3215636,7.314,598,2020-04-16,107,"Drama, Romance",en
Bloodshot,42000000,39861118,6.723,4910,2020-03-05,110,"Action, Science Fiction, Adventure",en
Pokémon the Movie: Secrets of the Jungle,0,0,7.2,160,2020-12-25,101,"Animation, Adventure, Family, Fantasy",ja
The Hunt,14000000,10550350,6.646,3121,2020-03-11,90,"Action, Thriller, Horror",en
Summer of 85,6900000,3600000,7.375,813,2020-07-14,101,"Romance, Drama",fr
Project Power,0,0,6.467,2813,2020-08-14,113,"Action, Crime, Science Fiction",en
My Spy,18000000,10200000,6.904,1210,2020-01-09,99,"Family, Action, Comedy",en
Barbie: Princess Adventure,0,0,7.043,235,2020-09-01,72,"Animation, Music",en
Innocence,0,0,7.694,93,2020-06-10,110,"Crime, Thriller",ko
Shortcut,1400000,769563,5.342,114,2020-09-25,80,"Horror, Adventure, Fantasy",en
The Other Lamb,0,0,5.792,192,2020-04-03,97,"Horror, Drama, Thriller",en
Let Him Go,21000000,7997460,6.8,635,2020-11-05,114,"Thriller, Crime, Western",en
Don't Listen,0,443458,6.5,734,2020-07-24,98,"Drama, Horror, Thriller",es
Isi & Ossi,0,0,6.9,899,2020-02-14,113,"Romance, Comedy",de
Joe Bell,3500000,1700000,6.5,226,2020-09-14,93,Drama,en
Aunt's Temptation 3,0,0,7.3,16,2020-05-22,71,Romance,ko
The Bee Gees: How Can You Mend a Broken Heart,0,0,7.7,61,2020-10-08,111,"Music, Documentary",en
"Curious George: Go West, Go Wild",0,0,6.0,89,2020-09-08,85,"Animation, Family, TV Movie",en
Night in Paradise,0,0,6.929,247,2020-09-03,131,"Crime, Thriller, Action",ko
Monsters of Man,1900000,0,6.4,338,2020-11-19,132,Science Fiction,en
The Yin-Yang Master: Dream of Eternity,0,69000000,7.4,189,2020-12-24,132,"Action, Drama, Fantasy, Mystery, Science Fiction",zh
Solitary,0,0,5.133,113,2020-08-31,89,Science Fiction,en
Promising Young Woman,10000000,20379604,7.439,3172,2020-12-13,113,"Thriller, Crime, Drama",en
Unhinged,33000000,39238300,6.457,2234,2020-07-16,90,"Action, Thriller",en
Black Water: Abyss,0,1117982,5.2,425,2020-07-09,98,"Horror, Action, Adventure",en
Dolly Parton's Christmas on the Square,0,0,5.8,66,2020-11-22,98,"Comedy, Music, Family, TV Movie",en
The Owners,0,225374,5.616,380,2020-08-27,92,"Horror, Mystery, Thriller",en
"Josee, the Tiger and the Fish",0,0,8.259,455,2020-12-25,98,"Animation, Drama, Romance",ja
First Cow,0,101068,7.0,462,2020-03-06,122,"Drama, Western",en
Deep Blue Sea 3,5000000,0,5.618,309,2020-08-25,100,"Action, Horror, Science Fiction",en
The Mortuary Collection,0,107629,6.7,417,2020-09-25,108,"Fantasy, Horror",en
