title,production_countries,revenue,id,genres,vote_count,original_language,imdb_id,release_date,popularity,budget,vote_average,runtime
Lacan Freud,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1254858,"[{'id': 27, 'name': 'Horror'}]",0,pt,,2024-09-24,2.426,0,0.0,2
Winner,[],0,1226577,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1,en,tt27604605,2024-01-04,2.426,0,7.0,68
Blood,"[{'iso_3166_1': 'AR', 'name': 'Argentina'}, {'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",0,679905,"[{'id': 18, 'name': 'Drama'}]",3,es,tt10504776,2020-10-09,2.426,0,5.7,90
There Once Was a Singing Blackbird,"[{'iso_3166_1': 'SU', 'name': 'Soviet Union'}]",0,83235,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",27,ka,tt0151035,1974-10-20,2.426,0,6.2,78
on/jego,"[{'iso_3166_1': 'PL', 'name': 'Poland'}]",0,1355322,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0,pl,,2024-09-19,2.425,0,0.0,0
T. REX,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1300403,"[{'id': 99, 'name': 'Documentary'}]",2,en,,2024-06-21,2.425,0,7.0,45
Mrs Robinson,"[{'iso_3166_1': 'IE', 'name': 'Ireland'}]",0,1293316,"[{'id': 99, 'name': 'Documentary'}]",0,en,,2024-08-23,2.425,0,0.0,94
Mercato,"[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1235610,"[{'id': 35, 'name': 'Comedy'}]",0,fr,tt32465945,2024-12-04,2.425,0,0.0,0
Baby,"[{'iso_3166_1': 'AU', 'name': 'Australia'}]",0,1214680,"[{'id': 18, 'name': 'Drama'}]",0,en,,2024-01-18,2.425,0,0.0,19
The Unraveling,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1175000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",0,en,tt20200106,2023-09-30,2.425,0,0.0,95
Bottom Feeders,[],0,1072751,"[{'id': 18, 'name': 'Drama'}]",1,en,tt28559816,2024-04-30,2.425,0,10.0,78
Big Rage,[],0,1352983,[],0,en,tt31850380,2024-09-19,2.424,0,0.0,120
La Aspirante,"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",0,1292892,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",0,es,tt32013449,2024-03-16,2.424,6000,0.0,0
Universal Language,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",0,988397,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",0,fa,tt31691389,2024-12-18,2.424,0,0.0,89
La cresta,[],0,1363146,[],0,en,,2024-09-27,2.423,0,0.0,4
Maestra,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1361475,"[{'id': 99, 'name': 'Documentary'}]",0,pt,,2024-09-27,2.423,0,0.0,0
Do It For The Gram,[],0,1359976,[],0,en,tt32544855,2024-09-20,2.423,0,0.0,90
La valanga azzurra,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359873,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.423,0,0.0,94
